# timestamp_ns, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
1545308243657328640,-0.133447112,-0.104679352,-0.064036989,0.334592775,-7.141119914,-5.111218008
1545308243658329600,0.012494116,-0.043959287,-0.074689633,0.224421877,-5.852599406,-4.186740469
1545308243659330560,0.202111169,-0.015197147,-0.093864385,0.095090822,-6.619005656,-6.136286368
1545308243660332800,0.253243862,-0.038632963,-0.117300202,0.008870119,-8.434430461,-9.527634024
1545308243661333504,0.096650006,-0.074851952,-0.133279177,-0.029450193,-9.191256633,-11.376589102
1545308243662335744,-0.103515252,-0.058115106,-0.116357508,-0.142062906,-7.683702428,-9.848427784
1545308243663336704,-0.190866919,0.026040778,-0.072681666,-0.180383218,-4.919849889,-6.097827198
1545308243664337664,-0.042795171,0.136828282,-0.014092128,-0.309714273,-3.363087194,-3.482465870
1545308243665338880,0.210737757,0.200744131,0.029583711,-0.381564859,-4.565386999,-4.263242238
1545308243666339584,0.322590506,0.171981991,0.029583711,-0.386354898,-7.544791296,-7.424668019
1545308243667341824,0.168127171,0.081434531,-0.013026864,-0.443835367,-9.623668249,-9.843637745
1545308243668342784,-0.137603697,0.008996548,-0.056702708,-0.462995523,-8.900372350,-8.885629933
1545308243669343744,-0.334677601,0.005800756,-0.063094295,-0.506105874,-5.992818639,-5.072758839
1545308243670345472,-0.251587009,0.067586093,-0.031136357,-0.515685953,-3.636119421,-1.896962941
1545308243671346688,0.038283054,0.118797273,0.021015909,-0.464410131,-4.188234357,-2.446984625
1545308243672347648,0.234291694,0.087904605,0.036994875,-0.507520482,-7.330499982,-6.719699468
1545308243673349632,0.141613704,-0.010099715,0.014624323,-0.555420873,-10.285954083,-11.006784429
1545308243674350848,-0.183291932,-0.102777713,-0.020529400,-0.593741186,-10.391334943,-11.562428961
1545308243675351552,-0.455999611,-0.117691415,-0.036508367,-0.756602514,-7.507731427,-8.051330328
1545308243676353792,-0.413389033,-0.034600795,-0.020529400,-0.689541967,-4.279245099,-3.792985601
1545308243677354752,-0.065047588,0.070860382,0.012493794,-0.215328100,-3.733180646,-2.772707281
1545308243678356736,0.309925469,0.096426720,0.026342231,0.287626002,-6.453922833,-5.886232672
1545308243679357440,0.412190838,0.019727687,0.001841151,0.512757838,-10.166203107,-10.264328375
1545308243680358656,0.185093297,-0.098863504,-0.041236210,0.278234448,-11.852880423,-12.019526413
1545308243681360640,-0.143008124,-0.156387792,-0.083846779,-0.301360279,-10.195526907,-9.447275437
1545308243682361600,-0.265513551,-0.092471917,-0.097695217,-0.593552662,-6.751488821,-4.662026413
1545308243683362816,-0.060982771,0.040686129,-0.081716250,-0.387580982,-4.576811087,-1.768842820
1545308243684364800,0.293750261,0.137625193,-0.054019383,-0.028328052,-5.486918509,-3.191484421
1545308243685365760,0.486563107,0.129103069,-0.036975148,0.172853588,-8.375312063,-7.435459031
1545308243686366720,0.353405086,0.040686129,-0.044432003,-0.095388599,-10.363178274,-10.673525437
1545308243687368704,0.015716260,-0.023229737,-0.067867812,-0.742043872,-9.524921439,-10.309482468
1545308243688369408,-0.243142998,0.006597667,-0.082781514,-1.221047779,-6.497616751,-6.951665085
1545308243689370624,-0.225162632,0.115094889,-0.072386414,-1.058005453,-3.757335973,-3.777311124
1545308243690372608,0.015587131,0.207772887,-0.042559018,-0.253278890,-3.359762731,-3.418058194
1545308243691373824,0.243553704,0.183271805,-0.008470556,0.503547282,-5.160817419,-5.755597257
1545308243692375552,0.265924257,0.046917969,0.013899998,0.647248454,-7.177423864,-8.370958585
1545308243693376768,0.092286170,-0.103284304,0.017095791,0.201774821,-7.512726598,-8.821222257
1545308243694377728,-0.094135106,-0.168265443,0.008573677,-0.583791585,-6.003864294,-6.828566007
1545308243695379456,-0.120766700,-0.112871684,-0.001013703,-0.986154867,-4.403991247,-4.476656827
1545308243696380672,0.005999755,-0.007410512,-0.006340027,-0.636482015,-4.566852575,-4.203624600
1545308243697381376,0.116787248,0.030939005,-0.003144232,-0.032937093,-6.497238317,-6.306451749
1545308243698383872,0.057368879,-0.027982704,0.011900912,0.382806520,-8.475013739,-8.705763756
1545308243699384576,-0.141835554,-0.118530175,0.037467257,0.287005739,-8.666615301,-8.954845787
1545308243700385792,-0.304820996,-0.141965992,0.057707280,-0.230318480,-6.851190497,-6.756217858
1545308243701387520,-0.261145187,-0.049287991,0.063033602,-0.541671019,-4.896854559,-4.308507897
1545308243702388736,-0.034243862,0.096653225,0.053446222,-0.311749144,-4.944754950,-4.303717858
1545308243703390464,0.170286901,0.176548049,0.040663050,0.344486208,-7.210443426,-7.014879967
1545308243704391680,0.155373199,0.124350100,0.028945142,0.924080934,-9.744374090,-10.104455162
1545308243705392384,-0.067267052,-0.003481624,0.021488291,0.991141481,-10.117997137,-10.583459069
1545308243706394624,-0.279254683,-0.088702779,0.022553556,0.607938356,-7.742137762,-7.628004967
1545308243707395584,-0.240753088,-0.056034367,0.037179454,0.000435428,-4.714584901,-3.680643233
1545308243708396800,0.058586218,0.067536304,0.055288948,-0.445038205,-4.010449158,-2.473553389
1545308243709398784,0.374969756,0.159149045,0.060615270,-0.459408322,-6.486899354,-5.309256514
1545308243710399744,0.418645565,0.119734253,0.035048925,-0.377977658,-10.021948182,-9.687352217
1545308243711400704,0.128893672,-0.016619586,-0.012887974,-0.473778439,-11.353579041,-11.560257491
1545308243712402944,-0.252470997,-0.125276551,-0.046976436,-0.713280392,-9.020830018,-8.839515303
1545308243713403648,-0.388824811,-0.109297584,-0.036323787,-1.062953244,-4.843915955,-3.632742842
1545308243714405632,-0.148075065,0.019599402,0.018004696,-1.043793088,-2.549487244,-0.662918623
1545308243715406592,0.253529594,0.128256368,0.081920557,-0.550419064,-4.139780213,-2.693895186
1545308243716407552,0.444780610,0.104769591,0.098958778,-0.101715357,-7.954229856,-8.143596354
1545308243717409536,0.256228822,-0.028388453,0.067000845,0.075516088,-10.382779661,-12.219919596
1545308243718410752,-0.154963218,-0.153024394,0.007346037,-0.096925318,-9.137369504,-11.554104166
1545308243719411712,-0.424475103,-0.156220188,-0.034199272,-0.417857935,-5.286178098,-6.902976236
1545308243720413696,-0.319013924,-0.025192660,-0.025677157,-0.278946802,-2.455265012,-2.769172525
1545308243721414912,0.048502273,0.119683293,0.012672360,0.401238744,-3.236041379,-2.970354166
1545308243722415616,0.335058406,0.147380176,0.041434498,1.153274877,-6.708819700,-6.936506510
1545308243723417600,0.294578341,0.047245315,0.040369233,1.517317846,-9.630743528,-10.639206705
1545308243724418560,-0.010087267,-0.075260091,0.015868152,1.100584447,-9.525362668,-10.452395182
1545308243725419520,-0.284611632,-0.095334249,-0.005397079,0.196113632,-7.005430344,-6.791079947
1545308243726421760,-0.296329541,0.010126921,-0.009658136,-0.306840470,-5.007984055,-3.462002798
1545308243727422720,-0.093929298,0.149676563,-0.007527608,-0.005068009,-5.640269212,-3.658394400
1545308243728424704,0.069056160,0.199743975,-0.010723401,0.632007187,-8.140669602,-6.987471548
