# timestamp_ns, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
1540822817202034688,-0.162848201,-0.013975764,-0.011339207,0.709466757,-9.778311985,-0.587210474
1540822817203035648,-0.123433409,-0.024628407,-0.016665529,0.527445272,-9.514859837,-0.797972192
1540822817204036608,-0.073365985,-0.029954730,-0.018796058,0.489124960,-9.443009251,-0.975203638
1540822817205037568,-0.029690146,-0.036346316,-0.018796058,0.527445272,-9.605870579,-1.104534692
1540822817206038784,-0.005189066,-0.040607374,-0.017730793,0.211302694,-9.859742649,-1.253025903
1540822817207039488,-0.006435437,-0.033352944,-0.015578735,-0.245949502,-10.138314814,-1.342819691
1540822817208040704,-0.030029476,-0.016486102,-0.011298875,-0.345144797,-10.354426528,-1.184683428
1540822817209041664,-0.064256335,-0.008121252,-0.009151885,-0.180101459,-10.474640543,-0.909731569
1540822817210042624,-0.095212577,-0.004996244,-0.012339862,-0.096502943,-10.446162338,-0.700212397
1540822817211043584,-0.110165780,0.002417130,-0.021922234,-0.037246971,-10.249880971,-0.494731594
1540822817212044800,-0.104894987,0.007679601,-0.031502860,0.170049064,-10.010486437,-0.333406606
1540822817213045504,-0.083638909,0.001230810,-0.036823212,0.370576783,-9.857344800,-0.468916368
1540822817214046720,-0.060247773,-0.010539536,-0.040013593,0.278485765,-9.756885505,-0.888040629
1540822817215047680,-0.046433586,-0.014840913,-0.042139918,-0.029760387,-9.675583475,-1.212785440
1540822817216048640,-0.043950057,-0.011510157,-0.038945508,-0.113137977,-9.738274777,-1.219191480
1540822817217049600,-0.048964361,-0.010344733,-0.031489881,-0.019545965,-9.901532938,-1.082201285
1540822817218051584,-0.058273796,-0.015590637,-0.025099388,-0.078924365,-9.935410508,-0.935451364
1540822817219052800,-0.065481364,-0.021914488,-0.021904579,-0.013001551,-9.868632931,-0.749837179
1540822817220053760,-0.067386988,-0.028246519,-0.022970730,0.473045361,-9.835424307,-0.531767154
1540822817221054720,-0.065052456,-0.043106348,-0.030428389,0.846469209,-9.758982922,-0.455645089
1540822817222055680,-0.058472632,-0.063295236,-0.042147046,0.678176258,-9.572372552,-0.628945279
1540822817223056896,-0.051913056,-0.066446237,-0.047474033,0.442301278,-9.424086716,-0.893644357
1540822817224057600,-0.050691343,-0.052554225,-0.046409393,0.417236714,-9.405114926,-1.143930760
1540822817225058816,-0.058588166,-0.036502903,-0.041062943,0.128756779,-9.439025120,-1.390145569
1540822817226059776,-0.078082139,-0.016089118,-0.032517180,-0.380388250,-9.482511863,-1.525674019
1540822817227060736,-0.100379076,0.013069203,-0.019703354,-0.500781943,-9.506760276,-1.356084070
1540822817228061696,-0.116925965,0.028644201,-0.004788758,-0.219160090,-9.535802586,-0.984735389
1540822817229062912,-0.117802887,0.023289684,0.006942813,0.019415071,-9.593562284,-0.694982834
1540822817230063616,-0.104749131,0.007332596,0.011218299,0.162198093,-9.603404384,-0.520252132
1540822817231064832,-0.081769173,-0.014836549,0.009106749,0.396015877,-9.589279760,-0.388716302
1540822817232065792,-0.057549634,-0.045427970,0.005931610,0.658432336,-9.714060967,-0.415039568
1540822817233066752,-0.042902014,-0.074423899,0.001675601,0.565741637,-9.905925573,-0.694136629
1540822817234067712,-0.045091733,-0.083136871,-0.003587948,0.060509625,-9.997442556,-1.008873763
1540822817235069440,-0.061866145,-0.070333540,-0.002458709,-0.317575517,-10.107819894,-1.155013838
1540822817236070656,-0.083790554,-0.047408241,0.004034064,-0.344693162,-10.309501175,-1.167889581
1540822817237071616,-0.108663989,-0.023741205,0.009431762,-0.398863099,-10.357736634,-1.156534090
1540822817238072576,-0.127049311,-0.003043914,0.008376231,-0.425944476,-10.199737816,-0.994700046
1540822817239073536,-0.125042915,0.010709370,0.005224035,0.060819361,-10.056374286,-0.627338977
1540822817240074752,-0.101356874,0.003318868,-0.002181646,0.701217367,-9.946498870,-0.376887799
1540822817241075456,-0.064550449,-0.025399228,-0.014855113,0.819495840,-9.750055349,-0.411494408
1540822817242076672,-0.029267276,-0.053071960,-0.029726897,0.713792818,-9.596970515,-0.579471693
1540822817243077632,-0.007755612,-0.068860112,-0.039260668,0.770763070,-9.606750414,-0.836383571
1540822817244078592,-0.007170658,-0.075459800,-0.042391114,0.540337655,-9.688368684,-1.150976906
1540822817245079552,-0.030427820,-0.069020056,-0.038046077,-0.083881559,-9.770050812,-1.369697638
1540822817246080512,-0.062936205,-0.037788136,-0.028267794,-0.428239612,-9.822836412,-1.373392319
1540822817247081472,-0.099709188,-0.003517139,-0.019662940,-0.323343875,-9.818204471,-1.166195169
1540822817248082688,-0.129170488,0.013495056,-0.016482577,-0.204071762,-9.760873013,-0.911163072
1540822817249083392,-0.135513548,0.019485628,-0.020707102,-0.142274039,-9.593362250,-0.675345373
1540822817250084608,-0.118371872,0.012056758,-0.030231195,0.087181072,-9.377943310,-0.386883378
1540822817251085568,-0.081241818,-0.009153084,-0.040752696,0.412442806,-9.406809142,-0.189471822
1540822817252087552,-0.046619664,-0.034575259,-0.051349869,0.450355661,-9.675155389,-0.403982287
1540822817253088768,-0.039252673,-0.051771592,-0.060953178,0.094712122,-9.876476686,-0.805377054
1540822817254089472,-0.058334940,-0.057068100,-0.063034201,-0.135703042,-10.092127477,-0.961237487
1540822817255090688,-0.092502280,-0.053397259,-0.056523568,-0.081841946,-10.446835127,-0.857691360
1540822817256091648,-0.133439805,-0.047455578,-0.048997945,-0.213571491,-10.609872281,-0.792784753
1540822817257092608,-0.166404896,-0.034766967,-0.043682674,-0.379370227,-10.427832301,-0.714368797
1540822817258093568,-0.168657713,-0.014294257,-0.039416936,-0.023566351,-10.236238424,-0.596326800
1540822817259094784,-0.137934163,-0.005441489,-0.039366858,0.484242819,-10.087807871,-0.692065740
1540822817260095488,-0.090358827,-0.016112622,-0.045685518,0.547658152,-9.838742258,-0.907321258
1540822817261096704,-0.037545687,-0.028395898,-0.054018167,0.561871033,-9.704658044,-0.989892397
1540822817262097664,0.007287058,-0.034056574,-0.058227195,0.762624891,-9.824452119,-1.068331385
1540822817263098624,0.026644336,-0.040791044,-0.059320049,0.656467264,-10.025682881,-1.173961811
1540822817264099584,0.022458209,-0.041825257,-0.056048806,0.282053978,-10.183800963,-1.116285186
1540822817265100800,-0.001514684,-0.028484789,-0.047421699,0.213491514,-10.332352248,-0.820323052
1540822817266101504,-0.031204132,-0.009215670,-0.035568762,0.337030397,-10.375508891,-0.518740406
1540822817267102720,-0.063807765,-0.000581378,-0.025978485,0.285383227,-10.203070439,-0.455947428
1540822817268103680,-0.084811416,0.003055386,-0.019564399,0.243539950,-9.815076411,-0.574935279
1540822817269104640,-0.085796621,0.007352721,-0.014181928,0.343936401,-9.383999188,-0.700342827
1540822817270106880,-0.070245646,0.006501973,-0.007642679,0.348356533,-9.120562033,-0.890871716
1540822817271106816,-0.050215045,0.003591508,-0.000039807,0.084471178,-8.967295658,-1.170390153
1540822817272107520,-0.034809643,0.006957031,0.010738626,-0.231990166,-8.905037947,-1.314260812
1540822817273108736,-0.032597704,0.015178531,0.027856990,-0.231867559,-9.154127425,-1.169630222
1540822817274109696,-0.042757102,0.018205488,0.043917971,-0.102659111,-9.599610617,-0.873887815
1540822817275110656,-0.063898462,0.014010407,0.055733129,-0.117258050,-9.901393144,-0.531725926
1540822817276111616,-0.084062690,0.009787204,0.060083196,0.058982468,-10.121751556,-0.122628398
