# timestamp_ns, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
1553767979529837824,-0.029787948,0.193739083,0.053004765,-1.361967946,-4.841582230,-10.368450333
1553767979530838784,0.265290284,0.191608554,0.081766909,-0.303369314,-6.431875199,-7.307615372
1553767979531839744,0.490061064,0.139410613,0.089223760,0.841450022,-8.319150589,-4.352161271
1553767979532840704,0.593391747,0.053124189,0.072179524,1.847358225,-9.976504105,-2.072102677
1553767979533841920,0.549715872,-0.048075928,0.033830007,2.517963694,-10.939301957,-0.970393693
1553767979534842624,0.387451313,-0.144091703,-0.011234740,2.592853545,-10.970413934,-1.382436959
1553767979535843840,0.125396286,-0.221855998,-0.060236906,2.166540068,-10.041146356,-3.183491646
1553767979536844800,-0.161159839,-0.258074989,-0.096455889,1.213322295,-8.364632684,-6.028774849
1553767979537845760,-0.405105361,-0.237834965,-0.110304326,-0.108728486,-6.290545770,-9.266841256
1553767979538846720,-0.551046589,-0.157940149,-0.101782211,-1.435569306,-4.178138543,-12.054643990
1553767979539847936,-0.568090853,-0.042891587,-0.070889551,-2.484587861,-2.391453973,-13.711997506
1553767979540848640,-0.453042261,0.074287498,-0.024017915,-3.155193330,-1.375965692,-13.951499459
1553767979541849856,-0.236793597,0.163769711,0.032441100,-3.294104463,-1.486136590,-12.849790474
1553767979542850816,0.019935115,0.210641330,0.084639057,-2.867790986,-2.769867059,-10.708643013
1553767979543851776,0.280000603,0.216847227,0.125271485,-1.980318312,-4.848412232,-7.580198276
1553767979544852736,0.417419699,0.169975608,0.126336750,-0.835498976,-7.185951295,-4.533733432
1553767979545853952,0.437659723,0.082623924,0.100770412,0.371590868,-9.245668092,-1.932742221
1553767979546854656,0.339655428,-0.033489897,0.056029305,1.391869188,-10.692259888,-0.586741244
1553767979547855872,0.146842557,-0.151734252,0.004896613,1.981043993,-11.324545045,-0.922043979
1553767979548856832,-0.100298775,-0.239085919,-0.041975019,2.019364305,-11.041932740,-2.780579135
1553767979549857792,-0.344244306,-0.269978587,-0.077128741,1.593050829,-9.877953248,-5.649812534
1553767979550860032,-0.522143500,-0.240151183,-0.098434030,0.841014696,-8.024208131,-8.763337924
1553767979551859968,-0.584994102,-0.162386896,-0.097368765,-0.107413038,-5.878270631,-11.393069370
1553767979552861952,-0.507586497,-0.055857581,-0.068364438,-1.030322994,-4.007575833,-13.029000046
1553767979553862912,-0.300925229,0.063452028,-0.022558071,-1.600337643,-2.891496732,-13.364302780
1553767979559868928,-0.014369092,0.169978476,0.029639882,-1.744038815,-2.757375638,-12.391924851
1553767979560869888,0.280709136,0.239220647,0.072250455,-1.533277096,-3.518991849,-10.260357468
1553767979561870848,0.516132560,0.250938556,0.093555744,-1.011162838,-4.869782865,-7.304903366
1553767979562871808,0.637572739,0.203001656,0.090359951,-0.292656979,-6.536716458,-4.315918991
1553767979563872768,0.612006392,0.106062601,0.066924137,0.325258060,-8.184489896,-2.165191452
1553767979564873984,0.434107198,-0.010051214,0.031770411,0.665350834,-9.410739896,-1.384415085
1553767979565874688,0.136898446,-0.116577649,-0.009774900,0.689301029,-9.889743802,-2.045440475
1553767979566875904,-0.213330908,-0.192498830,-0.057135024,0.300062912,-9.429110638,-3.969025502
1553767979567876864,-0.526518668,-0.224456763,-0.093354007,-0.399282792,-8.135800091,-6.531696400
1553767979568877824,-0.728918845,-0.207412532,-0.104006651,-1.223169510,-6.435336224,-9.209328236
1553767979569878784,-0.770464158,-0.143496674,-0.084831891,-1.831504471,-4.854623333,-11.412746205
1553767979570880000,-0.644763021,-0.044427090,-0.043286582,-2.032686112,-3.796024701,-12.595885853
1553767979571880704,-0.384838465,0.063164614,0.005715578,-1.788394120,-3.451141888,-12.456974720
1553767979572881920,-0.049280201,0.140928922,0.044065095,-1.103418534,-3.920565716,-11.039123158
1553767979573882880,0.284147551,0.163299475,0.061109328,-0.131040604,-5.084545208,-8.653683705
1553767979574882816,0.543006792,0.126015212,0.057913535,0.865287521,-6.689208294,-5.913781361
1553767979575883776,0.690230392,0.055299417,0.049602058,1.737008514,-8.416674612,-3.357992756
1553767979576884736,0.646554550,-0.029921732,0.020839919,2.216012421,-9.853686331,-1.983251545
1553767979577885952,0.447350067,-0.107686029,-0.018574861,2.196852264,-10.509921682,-1.777279865
1553767979578887936,0.143749736,-0.166275582,-0.063315964,1.593307343,-10.141088674,-2.716127521
1553767979579888896,-0.184351694,-0.196102969,-0.095273897,0.525128632,-8.886098440,-4.727943927
1553767979580889856,-0.458124637,-0.185450325,-0.102730748,-0.696331329,-7.104203909,-7.386415607
1553767979581890816,-0.617914336,-0.130056582,-0.080360195,-1.821990509,-5.169028128,-9.934716388
1553767979582892032,-0.630697509,-0.036313320,-0.036684357,-2.645877228,-3.516464651,-11.798041584
1553767979583892736,-0.499669950,0.065952061,0.013383068,-2.890169220,-2.548876760,-12.602768146
1553767979584893952,-0.267041200,0.142001585,0.055615522,-2.521277204,-2.462262704,-12.158952853
1553767979585894912,0.019514935,0.169698461,0.079051338,-1.678230329,-3.295729501,-10.539919650
1553767979586895872,0.281569968,0.147327907,0.087573453,-0.552571149,-4.953083017,-8.293391329
1553767979587896832,0.453077525,0.091934148,0.081181867,0.649728656,-7.099020517,-5.912741915
1553767979588898048,0.492492309,0.023757231,0.059876580,1.722697405,-9.182687509,-3.805124728
1553767979589898752,0.393422750,-0.044419691,0.022592327,2.398092913,-10.758610360,-2.559714572
1553767979590899968,0.184630912,-0.104074491,-0.022148775,2.422043109,-11.525016611,-2.564504611
1553767979591900928,-0.080619916,-0.142424011,-0.061563555,1.875978655,-11.299884775,-3.714113986
1553767979592901888,-0.329891769,-0.141358746,-0.081803579,0.956291155,-10.159855478,-5.658869845
1553767979593902848,-0.503131940,-0.096770977,-0.083058216,-0.221747123,-8.373310942,-7.992640555
1553767979594904064,-0.538285700,-0.013680359,-0.058557142,-1.261185600,-6.318384185,-9.884705985
1553767979595904768,-0.425367637,0.082193440,-0.025533941,-1.936581108,-4.421528716,-10.914564383
1553767979596905984,-0.188878948,0.154631421,0.009619782,-2.113812553,-3.142588286,-10.995995047
