# timestamp_s, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
0.000000000,-0.029787948,0.193739083,0.053004765,-1.361967946,-4.841582230,-10.368450333
0.001000960,0.265290284,0.191608554,0.081766909,-0.303369314,-6.431875199,-7.307615372
0.002001920,0.490061064,0.139410613,0.089223760,0.841450022,-8.319150589,-4.352161271
0.003002880,0.593391747,0.053124189,0.072179524,1.847358225,-9.976504105,-2.072102677
0.004004096,0.549715872,-0.048075928,0.033830007,2.517963694,-10.939301957,-0.970393693
0.005004800,0.387451313,-0.144091703,-0.011234740,2.592853545,-10.970413934,-1.382436959
0.006006016,0.125396286,-0.221855998,-0.060236906,2.166540068,-10.041146356,-3.183491646
0.007006976,-0.161159839,-0.258074989,-0.096455889,1.213322295,-8.364632684,-6.028774849
0.008007936,-0.405105361,-0.237834965,-0.110304326,-0.108728486,-6.290545770,-9.266841256
0.009008896,-0.551046589,-0.157940149,-0.101782211,-1.435569306,-4.178138543,-12.054643990
0.010010112,-0.568090853,-0.042891587,-0.070889551,-2.484587861,-2.391453973,-13.711997506
0.011010816,-0.453042261,0.074287498,-0.024017915,-3.155193330,-1.375965692,-13.951499459
0.012012032,-0.236793597,0.163769711,0.032441100,-3.294104463,-1.486136590,-12.849790474
0.013012992,0.019935115,0.210641330,0.084639057,-2.867790986,-2.769867059,-10.708643013
0.014013952,0.280000603,0.216847227,0.125271485,-1.980318312,-4.848412232,-7.580198276
0.015014912,0.417419699,0.169975608,0.126336750,-0.835498976,-7.185951295,-4.533733432
0.016016128,0.437659723,0.082623924,0.100770412,0.371590868,-9.245668092,-1.932742221
0.017016832,0.339655428,-0.033489897,0.056029305,1.391869188,-10.692259888,-0.586741244
0.018018048,0.146842557,-0.151734252,0.004896613,1.981043993,-11.324545045,-0.922043979
0.019019008,-0.100298775,-0.239085919,-0.041975019,2.019364305,-11.041932740,-2.780579135
0.020019968,-0.344244306,-0.269978587,-0.077128741,1.593050829,-9.877953248,-5.649812534
0.021022208,-0.522143500,-0.240151183,-0.098434030,0.841014696,-8.024208131,-8.763337924
0.022022144,-0.584994102,-0.162386896,-0.097368765,-0.107413038,-5.878270631,-11.393069370
0.023024128,-0.507586497,-0.055857581,-0.068364438,-1.030322994,-4.007575833,-13.029000046
0.024025088,-0.300925229,0.063452028,-0.022558071,-1.600337643,-2.891496732,-13.364302780
0.030031104,-0.014369092,0.169978476,0.029639882,-1.744038815,-2.757375638,-12.391924851
0.031032064,0.280709136,0.239220647,0.072250455,-1.533277096,-3.518991849,-10.260357468
0.032033024,0.516132560,0.250938556,0.093555744,-1.011162838,-4.869782865,-7.304903366
0.033033984,0.637572739,0.203001656,0.090359951,-0.292656979,-6.536716458,-4.315918991
0.034034944,0.612006392,0.106062601,0.066924137,0.325258060,-8.184489896,-2.165191452
0.035036160,0.434107198,-0.010051214,0.031770411,0.665350834,-9.410739896,-1.384415085
0.036036864,0.136898446,-0.116577649,-0.009774900,0.689301029,-9.889743802,-2.045440475
0.037038080,-0.213330908,-0.192498830,-0.057135024,0.300062912,-9.429110638,-3.969025502
0.038039040,-0.526518668,-0.224456763,-0.093354007,-0.399282792,-8.135800091,-6.531696400
0.039040000,-0.728918845,-0.207412532,-0.104006651,-1.223169510,-6.435336224,-9.209328236
0.040040960,-0.770464158,-0.143496674,-0.084831891,-1.831504471,-4.854623333,-11.412746205
0.041042176,-0.644763021,-0.044427090,-0.043286582,-2.032686112,-3.796024701,-12.595885853
0.042042880,-0.384838465,0.063164614,0.005715578,-1.788394120,-3.451141888,-12.456974720
0.043044096,-0.049280201,0.140928922,0.044065095,-1.103418534,-3.920565716,-11.039123158
0.044045056,0.284147551,0.163299475,0.061109328,-0.131040604,-5.084545208,-8.653683705
0.045044992,0.543006792,0.126015212,0.057913535,0.865287521,-6.689208294,-5.913781361
0.046045952,0.690230392,0.055299417,0.049602058,1.737008514,-8.416674612,-3.357992756
0.047046912,0.646554550,-0.029921732,0.020839919,2.216012421,-9.853686331,-1.983251545
0.048048128,0.447350067,-0.107686029,-0.018574861,2.196852264,-10.509921682,-1.777279865
0.049050112,0.143749736,-0.166275582,-0.063315964,1.593307343,-10.141088674,-2.716127521
0.050051072,-0.184351694,-0.196102969,-0.095273897,0.525128632,-8.886098440,-4.727943927
0.051052032,-0.458124637,-0.185450325,-0.102730748,-0.696331329,-7.104203909,-7.386415607
0.052052992,-0.617914336,-0.130056582,-0.080360195,-1.821990509,-5.169028128,-9.934716388
0.053054208,-0.630697509,-0.036313320,-0.036684357,-2.645877228,-3.516464651,-11.798041584
