# timestamp_ns, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
1540113673014513408,0.018815912,-0.009264476,-0.017741388,1.334266404,-9.156461969,0.788080331
1540113673015514880,0.013489588,0.006714489,-0.013480332,1.334266404,-9.170832086,0.653959237
1540113673016519424,0.001771681,0.020562928,-0.007088745,1.386956833,-9.170832086,0.443197519
1540113673017515776,-0.014207285,0.032280833,-0.001762423,1.420487107,-9.170832086,0.366556894
1540113673018518784,-0.029120986,0.039737684,0.002498634,1.444437302,-9.261842829,0.447987558
1540113673019516672,-0.040117658,0.039445002,0.006483317,1.419670500,-9.459142910,0.159096463
1540113673020522752,-0.047574509,0.041575531,0.008613845,1.534631437,-9.665114590,0.115986111
1540113673021518592,-0.053966098,0.041575531,0.008613845,1.687912687,-9.871086269,-0.018134983
1540113673022523904,-0.059292420,0.037314473,0.004352788,1.841193937,-10.062687832,-0.238476779
1540113673023519488,-0.059292420,0.033053415,-0.002038798,1.927414641,-10.220759121,-0.410918186
1540113673024520960,-0.050770302,0.031988151,-0.010560913,1.927414641,-10.374040371,-0.382177951
1540113673025521408,-0.027334487,0.030922886,-0.019083028,1.869934172,-10.484211269,-0.276797092
1540113673026521856,0.003558182,0.029857622,-0.025474614,1.774133391,-10.522531582,-0.329487522
1540113673027526912,0.029124524,0.029857622,-0.030800938,1.659172453,-10.493791348,-0.487558811
1540113673028524032,0.043720079,0.027079699,-0.031881160,1.536536748,-10.375867264,-0.690023637
1540113673029523968,0.051176930,0.020688117,-0.030815895,1.464686162,-10.193845780,-0.757084184
1540113673030524672,0.055437992,0.014296528,-0.025489571,1.364095342,-10.016614334,-0.781034379
1540113673031529984,0.054372728,0.010035470,-0.016967458,1.253924443,-9.844172928,-0.699603715
1540113673032525568,0.050111666,0.004709148,-0.007380077,1.177283818,-9.647781327,-0.690023637
1540113673033528832,0.040524286,-0.005943495,0.003272567,1.143753545,-9.480129959,-0.824144731
1540113673034527488,0.020284266,-0.017661403,0.014990475,1.119803349,-9.393909256,-0.886415239
1540113673035527936,-0.003151553,-0.028314047,0.024577855,1.124593388,-9.365169022,-0.785824418
1540113673036528896,-0.016999990,-0.037901427,0.033099969,1.220394170,-9.384329178,-0.613383012
1540113673037529856,-0.018180101,-0.043460107,0.035260340,1.376775017,-9.423085736,-0.516988075
1540113673038529792,-0.017114837,-0.043460107,0.032064546,1.482155876,-9.427875775,-0.363706825
1540113673039530752,-0.013919044,-0.042394842,0.026738224,1.491735954,-9.447035931,-0.133784950
