# timestamp_ns, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
1545308243657328640,-0.157488264,-0.112887610,-0.075995333,0.309549708,-7.105018605,-5.380948853
1545308243658329600,-0.011547036,-0.052167545,-0.086647977,0.199378810,-5.816498097,-4.456471314
1545308243659330560,0.178070017,-0.023405405,-0.105822729,0.070047755,-6.582904347,-6.406017213
1545308243660332800,0.229202710,-0.046841221,-0.129258546,-0.016172948,-8.398329152,-9.797364869
1545308243661333504,0.072608854,-0.083060210,-0.145237521,-0.054493260,-9.155155324,-11.646319947
1545308243662335744,-0.146543040,-0.067000626,-0.133275488,-0.142682660,-7.665621243,-10.069253630
1545308243663336704,-0.231796179,0.017618861,-0.088960995,-0.162992117,-4.899541975,-6.340137658
1545308243664337664,-0.079050014,0.129343507,-0.029376229,-0.304041743,-3.344698047,-3.709205331
1545308243665338880,0.174485171,0.193300754,0.014466382,-0.368066001,-4.546266481,-4.498419095
1545308243666339584,0.281901977,0.163756370,0.013964181,-0.381580193,-7.527033377,-7.648427487
1545308243667341824,0.132509786,0.074182009,-0.027785414,-0.476619039,-9.610638145,-10.022491431
1545308243668342784,-0.173605333,0.001706568,-0.071406448,-0.473018148,-8.884761059,-9.090615726
1545308243669343744,-0.369348358,-0.001219619,-0.077532847,-0.507561464,-5.976374407,-5.287036638
1545308243670345472,-0.285416382,0.060741864,-0.045393371,-0.524781666,-3.620665099,-2.101981635
1545308243671346688,0.006918680,0.112645127,0.003634669,-0.460374930,-4.177078090,-2.693359404
1545308243672347648,0.193532419,0.080516210,0.017890103,-0.510104019,-7.321287229,-6.939416904
1545308243673349632,0.108758512,-0.016344686,-0.002502268,-0.598878236,-10.287336577,-11.040701313
1545308243674350848,-0.213585948,-0.108623092,-0.036880222,-0.617082279,-10.387673103,-11.691754046
1545308243675351552,-0.494939657,-0.124636361,-0.054293896,-0.768446467,-7.501296682,-8.238520794
1545308243676353792,-0.448060930,-0.040923686,-0.037250446,-0.702897196,-4.273286812,-3.976294732
1545308243677354752,-0.093635332,0.065381968,-0.002903095,-0.224751091,-3.726367628,-2.979369869
1545308243678356736,0.275114276,0.090188784,0.010036745,0.277397454,-6.447403636,-6.092716566
1545308243679357440,0.380282734,0.013908973,-0.013771374,0.472757962,-10.166810580,-10.317848392
1545308243680358656,0.154065228,-0.103938143,-0.059526397,0.217457264,-11.849549870,-12.094156913
1545308243681360640,-0.176248457,-0.161748586,-0.102357620,-0.349282649,-10.191074677,-9.556487241
1545308243682361600,-0.300608775,-0.098063374,-0.116363552,-0.610800157,-6.744408648,-4.855988035
1545308243683362816,-0.091408517,0.035793334,-0.099619121,-0.411612737,-4.570355888,-1.946055417
1545308243684364800,0.261946448,0.132567487,-0.072022368,-0.047044682,-5.480056787,-3.385615916
1545308243685365760,0.449668493,0.123364330,-0.055567965,0.146657707,-8.369115194,-7.610026136
1545308243686366720,0.322501121,0.035811345,-0.062146214,-0.152570014,-10.359553617,-10.758720741
1545308243687368704,-0.015986161,-0.028187414,-0.085606347,-0.783020870,-9.519993124,-10.443232312
1545308243688369408,-0.278781353,0.001130129,-0.100932138,-1.242407458,-6.491147504,-7.145842714
1545308243689370624,-0.255052343,0.110442230,-0.090737934,-1.084737695,-3.750839058,-3.942779927
1545308243690372608,-0.010954222,0.203559108,-0.060162076,-0.274214103,-3.353129202,-3.610378532
1545308243691373824,0.213866310,0.178698130,-0.026538194,0.478610571,-5.154293496,-5.932394281
1545308243692375552,0.231568156,0.041804990,-0.004883680,0.619290085,-7.170982907,-8.536084066
1545308243693376768,0.059204051,-0.108214532,-0.001338729,0.179987977,-7.506144624,-9.015891972
1545308243694377728,-0.125657647,-0.172981556,-0.009476978,-0.608300931,-5.997356818,-7.012729807
1545308243695379456,-0.153519533,-0.117707644,-0.019162486,-1.015304375,-4.397601650,-4.641043329
