# timestamp_ns, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
1540822817202034688,-0.161283668,-0.010289928,-0.005455015,0.639180417,-9.842966295,-0.792339474
1540822817203035648,-0.121868876,-0.020942571,-0.010781337,0.457158932,-9.579514147,-1.003101192
1540822817204036608,-0.071801452,-0.026268894,-0.012911866,0.418838620,-9.507663561,-1.180332638
1540822817205037568,-0.028125613,-0.032660480,-0.012911866,0.457158932,-9.670524889,-1.309663692
1540822817206038784,-0.003624533,-0.036921538,-0.011846601,0.141016354,-9.924396959,-1.458154903
1540822817207039488,-0.005686889,-0.030788171,-0.009857315,-0.380742426,-10.213285847,-1.750297611
1540822817208040704,-0.029122705,-0.013743942,-0.005596258,-0.471753168,-10.428837605,-1.573066166
1540822817209041664,-0.063211164,-0.005221827,-0.003465729,-0.299311762,-10.548588581,-1.280873783
1540822817210042624,-0.094103836,-0.002026033,-0.006661522,-0.213091058,-10.519848347,-1.065322025
1540822817211043584,-0.109017530,0.005430817,-0.016248903,-0.155610590,-10.323456745,-0.864140385
1540822817212044800,-0.103691216,0.010757139,-0.025836281,0.050361090,-10.083954792,-0.706069096
1540822817213045504,-0.082385923,0.004365552,-0.031162605,0.251542731,-9.930673542,-0.840190189
1540822817214046720,-0.058950110,-0.007352355,-0.034358398,0.160531988,-9.830082722,-1.256923588
1540822817215047680,-0.045101670,-0.011613413,-0.036488927,-0.146030512,-9.748652058,-1.577856205
1540822817216048640,-0.042087057,-0.007732146,-0.033590096,-0.237188264,-9.813830048,-1.553541660
1540822817217049600,-0.047413380,-0.006666882,-0.026133243,-0.141387482,-9.976691376,-1.414630527
1540822817218051584,-0.057000762,-0.011993204,-0.019741656,-0.198867951,-10.010221649,-1.266139316
1540822817219052800,-0.064457608,-0.018384790,-0.016545865,-0.131807404,-9.943161102,-1.079327793
1540822817220053760,-0.066588137,-0.024776377,-0.017611127,0.356776580,-9.909630829,-0.858985996
1540822817221054720,-0.064457608,-0.039690077,-0.025067978,0.730399627,-9.832990204,-0.782345371
1540822817222055680,-0.058066026,-0.059930103,-0.036785889,0.562748260,-9.646178680,-0.954786777
1540822817223056896,-0.051674439,-0.063125893,-0.042112207,0.328036346,-9.497687469,-1.218238926
1540822817224057600,-0.050609173,-0.049277457,-0.041046943,0.304086150,-9.478527313,-1.467320957
1540822817225058816,-0.056894027,-0.032138538,-0.035775474,0.019017857,-9.512650523,-1.625035625
1540822817226059776,-0.077134048,-0.011898515,-0.027253356,-0.488726284,-9.555760874,-1.763946758
1540822817227060736,-0.100569869,0.016863623,-0.014470185,-0.608477260,-9.579711070,-1.596295391
1540822817228061696,-0.116548828,0.032842588,0.000443518,-0.325864956,-9.608451304,-1.227462383
1540822817229062912,-0.117614092,0.027516270,0.012161426,-0.086363003,-9.665931773,-0.940060039
1540822817230063616,-0.104830919,0.011537301,0.016422483,0.057338169,-9.675511851,-0.767618633
1540822817231064832,-0.082460370,-0.010833250,0.014291955,0.292050083,-9.661141734,-0.638287578
1540822817232065792,-0.059024552,-0.041725916,0.011096161,0.555502232,-9.785682749,-0.667027813
1540822817233066752,-0.044110852,-0.070488054,0.006835104,0.464491490,-9.977284312,-0.949640117
1540822817234067712,-0.044432972,-0.078351693,0.001481975,-0.037884917,-10.068104509,-1.226499836
1540822817235069440,-0.061477201,-0.065568519,0.002547239,-0.416298003,-10.178275407,-1.370201008
