# timestamp_s, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
0.000000000,-0.161283668,-0.010289928,-0.005455015,0.639180417,-9.842966295,-0.792339474
0.001000960,-0.121868876,-0.020942571,-0.010781337,0.457158932,-9.579514147,-1.003101192
0.002001920,-0.071801452,-0.026268894,-0.012911866,0.418838620,-9.507663561,-1.180332638
0.003002880,-0.028125613,-0.032660480,-0.012911866,0.457158932,-9.670524889,-1.309663692
0.004004096,-0.003624533,-0.036921538,-0.011846601,0.141016354,-9.924396959,-1.458154903
0.005004800,-0.005686889,-0.030788171,-0.009857315,-0.380742426,-10.213285847,-1.750297611
0.006006016,-0.029122705,-0.013743942,-0.005596258,-0.471753168,-10.428837605,-1.573066166
0.007006976,-0.063211164,-0.005221827,-0.003465729,-0.299311762,-10.548588581,-1.280873783
0.008007936,-0.094103836,-0.002026033,-0.006661522,-0.213091058,-10.519848347,-1.065322025
0.009008896,-0.109017530,0.005430817,-0.016248903,-0.155610590,-10.323456745,-0.864140385
0.010010112,-0.103691216,0.010757139,-0.025836281,0.050361090,-10.083954792,-0.706069096
0.011010816,-0.082385923,0.004365552,-0.031162605,0.251542731,-9.930673542,-0.840190189
0.012012032,-0.058950110,-0.007352355,-0.034358398,0.160531988,-9.830082722,-1.256923588
0.013012992,-0.045101670,-0.011613413,-0.036488927,-0.146030512,-9.748652058,-1.577856205
0.014013952,-0.042087057,-0.007732146,-0.033590096,-0.237188264,-9.813830048,-1.553541660
0.015014912,-0.047413380,-0.006666882,-0.026133243,-0.141387482,-9.976691376,-1.414630527
0.016016896,-0.057000762,-0.011993204,-0.019741656,-0.198867951,-10.010221649,-1.266139316
0.017018112,-0.064457608,-0.018384790,-0.016545865,-0.131807404,-9.943161102,-1.079327793
0.018019072,-0.066588137,-0.024776377,-0.017611127,0.356776580,-9.909630829,-0.858985996
0.019020032,-0.064457608,-0.039690077,-0.025067978,0.730399627,-9.832990204,-0.782345371
0.020020992,-0.058066026,-0.059930103,-0.036785889,0.562748260,-9.646178680,-0.954786777
0.021022208,-0.051674439,-0.063125893,-0.042112207,0.328036346,-9.497687469,-1.218238926
0.022022912,-0.050609173,-0.049277457,-0.041046943,0.304086150,-9.478527313,-1.467320957
0.023024128,-0.056894027,-0.032138538,-0.035775474,0.019017857,-9.512650523,-1.625035625
0.024025088,-0.077134048,-0.011898515,-0.027253356,-0.488726284,-9.555760874,-1.763946758
0.025026048,-0.100569869,0.016863623,-0.014470185,-0.608477260,-9.579711070,-1.596295391
0.026027008,-0.116548828,0.032842588,0.000443518,-0.325864956,-9.608451304,-1.227462383
0.027028224,-0.117614092,0.027516270,0.012161426,-0.086363003,-9.665931773,-0.940060039
0.028028928,-0.104830919,0.011537301,0.016422483,0.057338169,-9.675511851,-0.767618633
0.029030144,-0.082460370,-0.010833250,0.014291955,0.292050083,-9.661141734,-0.638287578
0.030031104,-0.059024552,-0.041725916,0.011096161,0.555502232,-9.785682749,-0.667027813
0.031032064,-0.044110852,-0.070488054,0.006835104,0.464491490,-9.977284312,-0.949640117
0.032033024,-0.044432972,-0.078351693,0.001481975,-0.037884917,-10.068104509,-1.226499836
0.033034752,-0.061477201,-0.065568519,0.002547239,-0.416298003,-10.178275407,-1.370201008
0.034035968,-0.084913023,-0.043197968,0.008938825,-0.440248198,-10.379457048,-1.398941242
0.035036928,-0.110479361,-0.019762152,0.014265148,-0.492938628,-10.427357439,-1.394151203
0.036037888,-0.127523592,0.001543135,0.013199883,-0.521678862,-10.269286150,-1.221709797
0.037038848,-0.125393063,0.015391572,0.010004090,-0.033094878,-10.125584978,-0.862456867
0.038040064,-0.101957245,0.007934721,0.002547239,0.608770356,-10.015414079,-0.618164875
0.039040768,-0.067868788,-0.021892681,-0.010235933,0.723731294,-9.819022478,-0.632534992
0.040041984,-0.032715065,-0.049589555,-0.025149634,0.618350435,-9.665741228,-0.800186359
0.041042944,-0.005881956,-0.063428662,-0.034618783,0.677561062,-9.674001119,-0.976208806
0.042043904,-0.004816692,-0.069820249,-0.037814576,0.447639187,-9.755431783,-1.292351385
0.043044864,-0.028252509,-0.063428662,-0.033553519,-0.175065891,-9.836862447,-1.522273260
0.044045824,-0.064471496,-0.033601262,-0.023966137,-0.519948703,-9.889552877,-1.517483220
0.045046784,-0.101755747,0.000487199,-0.015444023,-0.414567844,-9.884762838,-1.311511541
0.046048000,-0.128387358,0.018596693,-0.012248229,-0.294816867,-9.827282369,-1.057639470
0.047048704,-0.133713680,0.024988282,-0.016509288,-0.232546360,-9.659631002,-0.822927556
0.048049920,-0.116669449,0.017531429,-0.026096666,-0.002624485,-9.444079244,-0.535525213
0.049050880,-0.082580995,-0.004839122,-0.036749312,0.323098172,-9.472819478,-0.339133611
0.050052864,-0.039955080,-0.028217810,-0.047380357,0.363148017,-9.736532308,-0.406631386
0.051054080,-0.029302434,-0.044196775,-0.056967737,0.008685127,-9.937713948,-0.818574745
0.052054784,-0.048477191,-0.049523099,-0.059098266,-0.221236749,-10.153265706,-0.976646034
0.053056000,-0.086826715,-0.047392570,-0.052706679,-0.163756280,-10.507728597,-0.914375527
0.054056960,-0.129437284,-0.042066246,-0.045249828,-0.293087334,-10.670589925,-0.876055214
0.055057920,-0.159264697,-0.028217810,-0.039923506,-0.460738702,-10.488568441,-0.770674355
0.056058880,-0.159264697,-0.006912522,-0.035662453,-0.106275811,-10.296966878,-0.631763222
0.057060096,-0.129437284,0.001609593,-0.035662453,0.401468330,-10.148475667,-0.722773964
0.058060800,-0.084696186,-0.010108315,-0.042054035,0.463738837,-9.899393636,-0.919165566
0.059062016,-0.017138280,-0.019444168,-0.049677481,0.482426748,-9.755589986,-0.791187688
0.060062976,0.028668087,-0.024770490,-0.053938538,0.683608388,-9.875340963,-0.872618352
0.061063936,0.052103906,-0.030096813,-0.055003803,0.578227529,-10.076522603,-0.987579289
0.062064896,0.047842846,-0.031162075,-0.051808009,0.204604482,-10.234593892,-0.939678899
0.063066112,0.022276501,-0.018378904,-0.043285894,0.137543935,-10.383085103,-0.666646672
0.064066816,-0.010746694,-0.000269409,-0.031567989,0.262084951,-10.426195455,-0.379244328
0.065068032,-0.040574096,0.009317971,-0.021980607,0.209394521,-10.253754049,-0.293023625
0.066068992,-0.059748860,0.013579027,-0.015589023,0.166284169,-9.865760885,-0.384034367
0.067069952,-0.060814124,0.017840085,-0.010262700,0.266874990,-9.434657369,-0.508575383
0.068072192,-0.032827101,0.018994836,-0.001831126,0.273687527,-9.161623408,-0.550576487
0.069072128,-0.013652345,0.015799043,0.005625725,0.010235378,-9.008342158,-0.837978830
0.070072832,0.001261359,0.018994836,0.016278369,-0.305907200,-8.946071651,-0.986470041
0.071074048,0.004457152,0.027516952,0.033322598,-0.305907200,-9.195153682,-0.833188791
0.072075008,-0.005130228,0.030712747,0.049301567,-0.176576145,-9.640627315,-0.536206369
