# timestamp_ns, ang_vel_x, ang_vel_y, ang_vel_z, lin_acc_x, lin_acc_y, lin_acc_z
1553767979529837824,-0.031201086,0.190090118,0.044503220,-1.359186391,-4.795367281,-10.260562982
1553767979530838784,0.263877146,0.187959589,0.073265364,-0.300587759,-6.385660250,-7.199728021
1553767979531839744,0.488647926,0.135761648,0.080722215,0.844231577,-8.272935640,-4.244273920
1553767979532840704,0.591978609,0.049475224,0.063677979,1.850139780,-9.930289156,-1.964215326
1553767979533841920,0.548302734,-0.051724893,0.025328462,2.520745249,-10.893087008,-0.862506342
1553767979534842624,0.382362721,-0.147623799,-0.021247584,2.631824055,-10.921486306,-1.196973162
1553767979535843840,0.118531452,-0.225598150,-0.070144731,2.194951913,-9.993666059,-2.985139298
1553767979536844800,-0.167720182,-0.261628544,-0.105928647,1.248808556,-8.316871802,-5.837117533
1553767979537845760,-0.410722460,-0.241101023,-0.119317096,-0.079909363,-6.243696776,-9.067126227
1553767979538846720,-0.552136119,-0.160266646,-0.109912162,-1.437434892,-4.134033229,-11.821699729
1553767979539847936,-0.568097709,-0.044953787,-0.078704813,-2.509506140,-2.349242943,-13.454538570
1553767979540848640,-0.453962957,0.072117036,-0.031798608,-3.167248569,-1.332865357,-13.707234607
1553767979541849856,-0.239129745,0.161404249,0.024634681,-3.287526217,-1.441826295,-12.624390373
1553767979542850816,0.015026905,0.207884576,0.076688738,-2.844820747,-2.724597878,-10.499490065
1553767979543851776,0.250430059,0.209249918,0.112240041,-1.973734350,-4.819406475,-7.628957420
1553767979544852736,0.388564787,0.162551995,0.113861984,-0.830853596,-7.157401532,-4.577443466
1553767979545853952,0.400167702,0.074050098,0.085886646,0.381178188,-9.216810869,-1.995772028
1553767979546854656,0.307621579,-0.041233894,0.043060194,1.379257295,-10.665881120,-0.573408799
1553767979547855872,0.117866910,-0.158998895,-0.006962195,1.973069997,-11.297836018,-0.926941853
1553767979548856832,-0.129521921,-0.246332684,-0.053740395,1.998694758,-11.016581943,-2.741366949
1553767979549857792,-0.374239571,-0.277281138,-0.088966167,1.573850417,-9.852558001,-5.617359276
1553767979550860032,-0.547205649,-0.246749450,-0.108723243,0.819791303,-7.999089658,-8.724859710
1553767979551859968,-0.610023826,-0.168943017,-0.107534206,-0.140457582,-5.854286945,-11.311804081
1553767979552861952,-0.525010804,-0.062311991,-0.075762980,-1.020761072,-3.977993085,-12.821994109
1553767979553862912,-0.322372653,0.056805550,-0.031731667,-1.586382203,-2.862542727,-13.221403665
