# timestamp_ns, tx, ty, tz, qx, qy, qz, qw
1540822844494800128,6.972597572,3.387749686,-0.847227610,-0.226137022,-0.671406377,0.663736571,0.239852640
1540822844496800000,6.972586198,3.387696706,-0.847241528,-0.226178267,-0.671366236,0.663755488,0.239873760
1540822844498800128,6.972572873,3.387645439,-0.847255606,-0.226211510,-0.671331710,0.663771900,0.239893628
1540822844500800000,6.972557766,3.387595741,-0.847269820,-0.226237518,-0.671302298,0.663786018,0.239912344
1540822844502799872,6.972541037,3.387547474,-0.847284144,-0.226257018,-0.671277524,0.663798043,0.239930002
1540822844504800000,6.972522839,3.387500510,-0.847298557,-0.226270698,-0.671256936,0.663808166,0.239946694
1540822844506799872,6.972503318,3.387454723,-0.847313037,-0.226279206,-0.671240109,0.663816566,0.239962504
1540822844508800000,6.972482612,3.387410000,-0.847327566,-0.226283154,-0.671226640,0.663823415,0.239977512
1540822844510799872,6.972460852,3.387366231,-0.847342129,-0.226283116,-0.671216149,0.663828873,0.239991792
1540822844512800000,6.972438160,3.387323312,-0.847356711,-0.226279631,-0.671208281,0.663833091,0.240005415
1540822844514800128,6.972414655,3.387281148,-0.847371298,-0.226273204,-0.671202701,0.663836212,0.240018445
1540822844516800000,6.972390447,3.387239649,-0.847385880,-0.226264304,-0.671199098,0.663838370,0.240030944
1540822844518800128,6.972365640,3.387198731,-0.847400447,-0.226253370,-0.671197179,0.663839689,0.240042968
1540822844520800000,6.972340331,3.387158316,-0.847414991,-0.226240807,-0.671196673,0.663840287,0.240054569
1540822844522799872,6.972314612,3.387118331,-0.847429507,-0.226226991,-0.671197329,0.663840272,0.240065797
1540822844524800000,6.972288568,3.387078710,-0.847443988,-0.226212266,-0.671198915,0.663839746,0.240076695
1540822844526799872,6.972262279,3.387039391,-0.847458430,-0.226196949,-0.671201216,0.663838801,0.240087303
1540822844528800000,6.972235820,3.387000317,-0.847472833,-0.226181329,-0.671204038,0.663837525,0.240097659
1540822844530800128,6.972209259,3.386961438,-0.847487193,-0.226165668,-0.671207201,0.663835997,0.240107796
1540822844532800000,6.972182660,3.386922706,-0.847501512,-0.226150200,-0.671210543,0.663834289,0.240117744
1540822844534800128,6.972156081,3.386884080,-0.847515790,-0.226135138,-0.671213920,0.663832466,0.240127529
1540822844536800000,6.972129576,3.386845522,-0.847530028,-0.226120666,-0.671217199,0.663830590,0.240137176
1540822844538800128,6.972103194,3.386806999,-0.847544230,-0.226106950,-0.671220267,0.663828714,0.240146704
1540822844540800000,6.972076980,3.386768482,-0.847558400,-0.226094131,-0.671223021,0.663826884,0.240156132
1540822844542799872,6.972050973,3.386729945,-0.847572540,-0.226082329,-0.671225373,0.663825145,0.240165475
1540822844544800000,6.972025210,3.386691367,-0.847586657,-0.226071645,-0.671227250,0.663823532,0.240174745
1540822844546799872,6.971999722,3.386652730,-0.847600757,-0.226062160,-0.671228588,0.663822078,0.240183952
1540822844548800000,6.971974538,3.386614019,-0.847614844,-0.226053938,-0.671229336,0.663820810,0.240193104
1540822844550800128,6.971949682,3.386575223,-0.847628927,-0.226047024,-0.671229455,0.663819751,0.240202206
1540822844552800000,6.971925175,3.386536334,-0.847643011,-0.226041447,-0.671228916,0.663818918,0.240211262
1540822844554800128,6.971901035,3.386497346,-0.847657105,-0.226037224,-0.671227700,0.663818325,0.240220274
1540822844556800000,6.971877277,3.386458257,-0.847671215,-0.226034352,-0.671225795,0.663817984,0.240229241
1540822844558799872,6.971853912,3.386419065,-0.847685351,-0.226032820,-0.671223201,0.663817900,0.240238161
1540822844560800000,6.971830949,3.386379774,-0.847699519,-0.226032602,-0.671219924,0.663818077,0.240247033
1540822844562799872,6.971808395,3.386340387,-0.847713727,-0.226033661,-0.671215978,0.663818515,0.240255850
1540822844564800000,6.971786254,3.386300910,-0.847727984,-0.226035950,-0.671211384,0.663819211,0.240264607
1540822844566800128,6.971764528,3.386261351,-0.847742298,-0.226039412,-0.671206169,0.663820161,0.240273297
1540822844568800000,6.971743215,3.386221720,-0.847756675,-0.226043982,-0.671200365,0.663821355,0.240281912
1540822844570800128,6.971722315,3.386182028,-0.847771124,-0.226049587,-0.671194008,0.663822785,0.240290445
1540822844572800000,6.971701824,3.386142286,-0.847785651,-0.226056149,-0.671187142,0.663824438,0.240298885
1540822844574800128,6.971681735,3.386102509,-0.847800263,-0.226063582,-0.671179810,0.663826301,0.240307222
1540822844576800000,6.971662043,3.386062710,-0.847814966,-0.226071797,-0.671172062,0.663828360,0.240315448
1540822844578799872,6.971642740,3.386022904,-0.847829766,-0.226080702,-0.671163948,0.663830597,0.240323550
1540822844580800000,6.971623816,3.385983107,-0.847844668,-0.226090201,-0.671155521,0.663832997,0.240331520
1540822844582799872,6.971605263,3.385943334,-0.847859676,-0.226100197,-0.671146835,0.663835542,0.240339345
1540822844584800000,6.971587070,3.385903602,-0.847874794,-0.226110592,-0.671137943,0.663838213,0.240347017
1540822844586800128,6.971569227,3.385863926,-0.847890025,-0.226121288,-0.671128901,0.663840993,0.240354524
1540822844588800000,6.971551722,3.385824322,-0.847905370,-0.226132191,-0.671119763,0.663843862,0.240361858
1540822844590800128,6.971534545,3.385784807,-0.847920830,-0.226143205,-0.671110580,0.663846804,0.240369010
1540822844592800000,6.971517684,3.385745394,-0.847936406,-0.226154240,-0.671101404,0.663849801,0.240375971
1540822844594799872,6.971501129,3.385706099,-0.847952097,-0.226165209,-0.671092283,0.663852836,0.240382733
1540822844596800000,6.971484870,3.385666934,-0.847967899,-0.226176031,-0.671083261,0.663855894,0.240389292
1540822844598799872,6.971468897,3.385627912,-0.847983808,-0.226186631,-0.671074381,0.663858960,0.240395641
1540822844600800000,6.971453201,3.385589044,-0.847999821,-0.226196939,-0.671065681,0.663862021,0.240401776
1540822844602799872,6.971437774,3.385550342,-0.848015932,-0.226206891,-0.671057195,0.663865065,0.240407694
1540822844604800000,6.971422607,3.385511814,-0.848032132,-0.226216429,-0.671048953,0.663868082,0.240413392
1540822844606800128,6.971407693,3.385473468,-0.848048415,-0.226225501,-0.671040985,0.663871061,0.240418871
1540822844608800000,6.971393025,3.385435313,-0.848064770,-0.226234059,-0.671033313,0.663873995,0.240424130
1540822844610800128,6.971378598,3.385397355,-0.848081189,-0.226242061,-0.671025961,0.663876874,0.240429169
1540822844612800000,6.971364405,3.385359601,-0.848097659,-0.226249470,-0.671018946,0.663879694,0.240433990
