# timestamp_ns, tx, ty, tz, qx, qy, qz, qw
1553768005375729920,0.553480555,-4.647160156,-0.210737262,0.886685732,-0.286714424,0.096171401,-0.349763224
1553768005377729792,0.553484014,-4.647109875,-0.210783283,0.886692702,-0.286694550,0.096195934,-0.349755100
1553768005379729920,0.553488717,-4.647060774,-0.210828383,0.886698337,-0.286678045,0.096220631,-0.349747549
1553768005381730048,0.553494508,-4.647012745,-0.210872664,0.886702763,-0.286664588,0.096245440,-0.349740532
1553768005383729920,0.553501242,-4.646965688,-0.210916223,0.886706097,-0.286653877,0.096270309,-0.349734013
1553768005385730048,0.553508780,-4.646919507,-0.210959150,0.886708452,-0.286645625,0.096295190,-0.349727955
1553768005387729920,0.553516993,-4.646874113,-0.211001527,0.886709935,-0.286639560,0.096320038,-0.349722325
1553768005389730048,0.553525762,-4.646829422,-0.211043431,0.886710645,-0.286635427,0.096344813,-0.349717088
1553768005391730176,0.553534974,-4.646785353,-0.211084932,0.886710677,-0.286632985,0.096369475,-0.349712212
1553768005393730048,0.553544524,-4.646741833,-0.211126096,0.886710121,-0.286632008,0.096393989,-0.349707668
1553768005395729920,0.553554317,-4.646698793,-0.211166980,0.886709059,-0.286632284,0.096418320,-0.349703425
1553768005397730048,0.553564264,-4.646656168,-0.211207638,0.886707571,-0.286633616,0.096442438,-0.349699456
1553768005399729920,0.553574282,-4.646613899,-0.211248117,0.886705730,-0.286635818,0.096466316,-0.349695732
1553768005401730048,0.553584298,-4.646571929,-0.211288461,0.886703605,-0.286638720,0.096489928,-0.349692229
1553768005403729920,0.553594243,-4.646530209,-0.211328707,0.886701258,-0.286642163,0.096513250,-0.349688921
1553768005405730048,0.553604056,-4.646488691,-0.211368888,0.886698749,-0.286646000,0.096536262,-0.349685786
1553768005407730176,0.553613684,-4.646447333,-0.211409032,0.886696133,-0.286650097,0.096558944,-0.349682799
1553768005409730048,0.553623076,-4.646406097,-0.211449162,0.886693459,-0.286654330,0.096581282,-0.349679941
1553768005411730176,0.553632191,-4.646364947,-0.211489298,0.886690773,-0.286658588,0.096603259,-0.349677189
1553768005413729792,0.553640991,-4.646323853,-0.211529456,0.886688118,-0.286662769,0.096624865,-0.349674527
1553768005415729920,0.553649445,-4.646282786,-0.211569646,0.886685530,-0.286666782,0.096646088,-0.349671933
1553768005417730048,0.553657526,-4.646241724,-0.211609877,0.886683044,-0.286670546,0.096666920,-0.349669393
1553768005419729920,0.553665214,-4.646200645,-0.211650152,0.886680690,-0.286673989,0.096687355,-0.349666889
1553768005421730048,0.553672491,-4.646159530,-0.211690473,0.886678496,-0.286677050,0.096707386,-0.349664405
1553768005423729920,0.553679346,-4.646118367,-0.211730837,0.886676484,-0.286679674,0.096727011,-0.349661927
1553768005425730048,0.553685770,-4.646077142,-0.211771239,0.886674675,-0.286681815,0.096746228,-0.349659442
1553768005427730176,0.553691760,-4.646035847,-0.211811671,0.886673085,-0.286683438,0.096765036,-0.349656938
1553768005429730048,0.553697317,-4.645994475,-0.211852123,0.886671731,-0.286684511,0.096783436,-0.349654401
1553768005431729920,0.553702444,-4.645953022,-0.211892580,0.886670622,-0.286685011,0.096801430,-0.349651821
1553768005433729792,0.553707148,-4.645911486,-0.211933029,0.886669768,-0.286684924,0.096819022,-0.349649188
1553768005435729920,0.553711439,-4.645869867,-0.211973452,0.886669174,-0.286684239,0.096836216,-0.349646493
1553768005437730048,0.553715331,-4.645828168,-0.212013829,0.886668846,-0.286682953,0.096853017,-0.349643726
1553768005439729920,0.553718840,-4.645786394,-0.212054140,0.886668784,-0.286681067,0.096869433,-0.349640881
1553768005441730048,0.553721984,-4.645744550,-0.212094363,0.886668989,-0.286678589,0.096885471,-0.349637949
1553768005443730176,0.553724783,-4.645702643,-0.212134474,0.886669459,-0.286675530,0.096901139,-0.349634925
1553768005445730048,0.553727261,-4.645660684,-0.212174448,0.886670188,-0.286671908,0.096916446,-0.349631803
1553768005447730176,0.553729441,-4.645618682,-0.212214260,0.886671172,-0.286667742,0.096931402,-0.349628577
1553768005449729792,0.553731351,-4.645576649,-0.212253883,0.886672404,-0.286663056,0.096946018,-0.349625243
1553768005451729920,0.553733016,-4.645534598,-0.212293292,0.886673874,-0.286657878,0.096960303,-0.349621798
1553768005453730048,0.553734465,-4.645492543,-0.212332457,0.886675574,-0.286652237,0.096974269,-0.349618238
1553768005455729920,0.553735727,-4.645450497,-0.212371354,0.886677493,-0.286646166,0.096987928,-0.349614561
1553768005457730048,0.553736833,-4.645408477,-0.212409952,0.886679618,-0.286639699,0.097001291,-0.349610765
1553768005459729920,0.553737812,-4.645366497,-0.212448227,0.886681939,-0.286632873,0.097014371,-0.349606848
1553768005461730048,0.553738695,-4.645324574,-0.212486150,0.886684441,-0.286625724,0.097027179,-0.349602809
1553768005463730176,0.553739512,-4.645282724,-0.212523697,0.886687111,-0.286618291,0.097039729,-0.349598647
1553768005465730048,0.553740293,-4.645240964,-0.212560840,0.886689935,-0.286610613,0.097052031,-0.349594364
1553768005467729920,0.553741067,-4.645199308,-0.212597557,0.886692900,-0.286602727,0.097064099,-0.349589959
1553768005469729792,0.553741863,-4.645157775,-0.212633823,0.886695990,-0.286594674,0.097075943,-0.349585433
1553768005471729920,0.553742710,-4.645116378,-0.212669616,0.886699194,-0.286586490,0.097087575,-0.349580787
1553768005473730048,0.553743632,-4.645075135,-0.212704917,0.886702495,-0.286578211,0.097099007,-0.349576024
1553768005475729920,0.553744656,-4.645034058,-0.212739706,0.886705882,-0.286569874,0.097110248,-0.349571146
1553768005477730048,0.553745805,-4.644993163,-0.212773966,0.886709341,-0.286561510,0.097121310,-0.349566154
1553768005479729920,0.553747100,-4.644952463,-0.212807683,0.886712861,-0.286553152,0.097132202,-0.349561052
1553768005481730048,0.553748560,-4.644911970,-0.212840843,0.886716429,-0.286544827,0.097142933,-0.349555843
1553768005483730176,0.553750205,-4.644871694,-0.212873435,0.886720035,-0.286536562,0.097153511,-0.349550531
1553768005485730048,0.553752049,-4.644831648,-0.212905451,0.886723668,-0.286528382,0.097163944,-0.349545119
1553768005487729920,0.553754107,-4.644791841,-0.212936883,0.886727320,-0.286520309,0.097174239,-0.349539611
1553768005489729792,0.553756392,-4.644752282,-0.212967725,0.886730981,-0.286512363,0.097184404,-0.349534012
1553768005491729920,0.553758915,-4.644712979,-0.212997973,0.886734642,-0.286504562,0.097194445,-0.349528326
1553768005493730048,0.553761686,-4.644673940,-0.213027626,0.886738296,-0.286496924,0.097204367,-0.349522558
1553768005495729920,0.553764712,-4.644635172,-0.213056682,0.886741935,-0.286489463,0.097214177,-0.349516713
1553768005497730048,0.553768000,-4.644596681,-0.213085141,0.886745553,-0.286482192,0.097223878,-0.349510795
1553768005499730176,0.553771555,-4.644558473,-0.213113006,0.886749143,-0.286475122,0.097233476,-0.349504812
1553768005501730048,0.553775381,-4.644520553,-0.213140280,0.886752700,-0.286468263,0.097242975,-0.349498767
1553768005503730176,0.553779481,-4.644482924,-0.213166968,0.886756218,-0.286461622,0.097252378,-0.349492666
1553768005505729792,0.553783854,-4.644445590,-0.213193074,0.886759693,-0.286455207,0.097261689,-0.349486516
1553768005507729920,0.553788503,-4.644408556,-0.213218607,0.886763120,-0.286449023,0.097270911,-0.349480323
1553768005509730048,0.553793424,-4.644371822,-0.213243573,0.886766496,-0.286443073,0.097280046,-0.349474091
1553768005511729920,0.553798617,-4.644335390,-0.213267982,0.886769817,-0.286437359,0.097289097,-0.349467827
1553768005513730048,0.553804076,-4.644299264,-0.213291843,0.886773080,-0.286431883,0.097298066,-0.349461538
1553768005515729920,0.553809799,-4.644263442,-0.213315167,0.886776283,-0.286426645,0.097306955,-0.349455229
1553768005517730048,0.553815780,-4.644227926,-0.213337964,0.886779424,-0.286421642,0.097315764,-0.349448906
1553768005519730176,0.553822011,-4.644192715,-0.213360248,0.886782500,-0.286416874,0.097324496,-0.349442577
1553768005521730048,0.553828487,-4.644157809,-0.213382031,0.886785510,-0.286412336,0.097333152,-0.349436246
1553768005523729920,0.553835199,-4.644123207,-0.213403325,0.886788454,-0.286408025,0.097341731,-0.349429920
1553768005525729792,0.553842138,-4.644088907,-0.213424144,0.886791330,-0.286403934,0.097350235,-0.349423605
1553768005527729920,0.553849295,-4.644054907,-0.213444503,0.886794138,-0.286400058,0.097358664,-0.349417307
1553768005529730048,0.553856659,-4.644021206,-0.213464416,0.886796878,-0.286396390,0.097367018,-0.349411032
1553768005531729920,0.553864220,-4.643987801,-0.213483897,0.886799550,-0.286392921,0.097375298,-0.349404786
1553768005533730048,0.553871966,-4.643954689,-0.213502961,0.886802154,-0.286389645,0.097383502,-0.349398575
1553768005535729920,0.553879885,-4.643921866,-0.213521624,0.886804692,-0.286386552,0.097391632,-0.349392403
1553768005537730048,0.553887965,-4.643889329,-0.213539900,0.886807164,-0.286383632,0.097399687,-0.349386278
1553768005539730176,0.553896193,-4.643857075,-0.213557805,0.886809571,-0.286380875,0.097407665,-0.349380203
1553768005541730048,0.553904556,-4.643825099,-0.213575354,0.886811915,-0.286378272,0.097415568,-0.349374184
1553768005543729920,0.553913040,-4.643793397,-0.213592561,0.886814197,-0.286375810,0.097423395,-0.349368226
1553768005545730048,0.553921631,-4.643761965,-0.213609441,0.886816419,-0.286373480,0.097431144,-0.349362334
1553768005547729920,0.553930316,-4.643730797,-0.213626009,0.886818584,-0.286371270,0.097438816,-0.349356512
1553768005549730048,0.553939079,-4.643699889,-0.213642279,0.886820692,-0.286369168,0.097446410,-0.349350765
1553768005551729920,0.553947907,-4.643669236,-0.213658264,0.886822747,-0.286367163,0.097453925,-0.349345096
1553768005553730048,0.553956785,-4.643638833,-0.213673978,0.886824751,-0.286365243,0.097461362,-0.349339509
1553768005555730176,0.553965699,-4.643608673,-0.213689433,0.886826706,-0.286363396,0.097468719,-0.349334007
1553768005557730048,0.553974634,-4.643578753,-0.213704642,0.886828614,-0.286361611,0.097475997,-0.349328594
1553768005559730176,0.553983575,-4.643549066,-0.213719616,0.886830480,-0.286359876,0.097483194,-0.349323272
1553768005561729792,0.553992508,-4.643519606,-0.213734365,0.886832304,-0.286358180,0.097490312,-0.349318044
1553768005563729920,0.554001420,-4.643490368,-0.213748899,0.886834091,-0.286356512,0.097497350,-0.349312912
1553768005565730048,0.554010295,-4.643461347,-0.213763227,0.886835842,-0.286354860,0.097504308,-0.349307877
1553768005567729920,0.554019121,-4.643432537,-0.213777357,0.886837561,-0.286353215,0.097511187,-0.349302941
