# timestamp_ns, tx, ty, tz, qx, qy, qz, qw
1540113703290400000,-1.320947132,-6.048156717,-0.435222623,0.199175656,0.697338804,-0.623904345,-0.291188975
1540113703292399872,-1.320941324,-6.048146905,-0.435245243,0.199134532,0.697359765,-0.623892718,-0.291191815
1540113703294400000,-1.320936535,-6.048137894,-0.435266610,0.199098251,0.697377003,-0.623883524,-0.291195038
1540113703296400128,-1.320932737,-6.048129623,-0.435286845,0.199066421,0.697390857,-0.623876528,-0.291198610
1540113703298400000,-1.320929904,-6.048122039,-0.435306061,0.199038665,0.697401647,-0.623871507,-0.291202498
1540113703300400128,-1.320928008,-6.048115090,-0.435324361,0.199014627,0.697409678,-0.623868250,-0.291206672
1540113703302400000,-1.320927020,-6.048108727,-0.435341846,0.198993969,0.697415236,-0.623866559,-0.291211103
1540113703304399872,-1.320926913,-6.048102905,-0.435358606,0.198976370,0.697418592,-0.623866245,-0.291215762
1540113703306400000,-1.320927658,-6.048097581,-0.435374728,0.198961528,0.697420001,-0.623867134,-0.291220625
1540113703308399872,-1.320929227,-6.048092714,-0.435390289,0.198949155,0.697419703,-0.623869059,-0.291225666
1540113703310400000,-1.320931592,-6.048088267,-0.435405363,0.198938982,0.697417924,-0.623871867,-0.291230861
1540113703312400128,-1.320934725,-6.048084206,-0.435420018,0.198930757,0.697414872,-0.623875413,-0.291236191
1540113703314400000,-1.320938597,-6.048080498,-0.435434313,0.198924239,0.697410745,-0.623879565,-0.291241633
1540113703316400128,-1.320943180,-6.048077113,-0.435448306,0.198919208,0.697405725,-0.623884197,-0.291247168
1540113703318400000,-1.320948445,-6.048074024,-0.435462045,0.198915455,0.697399980,-0.623889195,-0.291252780
1540113703320399872,-1.320954364,-6.048071206,-0.435475578,0.198912785,0.697393669,-0.623894454,-0.291258451
1540113703322400000,-1.320960909,-6.048068636,-0.435488943,0.198911020,0.697386933,-0.623899877,-0.291264167
1540113703324399872,-1.320968051,-6.048066293,-0.435502176,0.198909993,0.697379906,-0.623905378,-0.291269912
1540113703326400000,-1.320975763,-6.048064157,-0.435515309,0.198909551,0.697372707,-0.623910875,-0.291275674
1540113703328399872,-1.320984016,-6.048062212,-0.435528367,0.198909552,0.697365446,-0.623916298,-0.291281441
1540113703330400000,-1.320992783,-6.048060443,-0.435541374,0.198909868,0.697358221,-0.623921583,-0.291287202
1540113703332400128,-1.321002036,-6.048058836,-0.435554347,0.198910383,0.697351120,-0.623926673,-0.291292947
